id,name,password,curFoudrisingAmount,closedFoundrisingAmount,fund_balance,income_history,outcome_history,volunteer_amount
904,"Little, Turner and Ortiz",jCJXknQJHJa,53,53,$1472580.81,$6.98,$7.69,55
905,Kessler-Dibbert,92NFgZIrz0ze,57,40,$187577.64,$7.55,$5.61,24
906,Carter-Purdy,aDcAeZ00vx,86,83,$6991288.94,$0.00,$6.67,22
907,"Schoen, Bruen and Ortiz",JwQcOSINBsgo,98,37,$3306511.50,$0.04,$0.94,86
908,Volkman LLC,3rou4UR,49,29,$6109542.75,$0.36,$7.88,33
909,"Rolfson, Casper and Kshlerin",4kP65gMC,65,61,$1731069.48,$4.14,$7.36,0
910,Pouros Group,amhcn6,95,4,$552660.02,$3.30,$2.14,45
911,O'Conner and Sons,cWnczL,33,77,$1346971.99,$2.69,$5.49,61
912,McClure-Klein,dwuYADMR,85,88,$4343345.40,$1.34,$4.14,4
913,Hansen-Gutkowski,89f97ZiwpU,51,65,$6795116.71,$1.72,$2.68,96
914,"Wilderman, Hegmann and Bauch",fhLSDn30HG,6,26,$2619395.27,$2.12,$8.26,64
915,"Braun, Jast and Kozey",IiWGn0SptFz,67,28,$4565267.29,$7.85,$9.33,36
916,"Borer, Thompson and Mayert",vbcXrjXfF,62,3,$8757939.44,$9.42,$2.95,74
917,"Stark, Morar and Cassin",dYrTmnKSGWD,29,46,$621944.40,$0.71,$9.32,9
918,Trantow-Brakus,7Dan1P21xQb,77,7,$4639935.16,$8.38,$0.44,85
919,Schuster-Sauer,db66eBC9BGu,34,1,$7132277.38,$6.95,$1.72,66
920,Klocko and Sons,UcCVZcbLV4G,98,49,$2603220.62,$0.18,$2.88,54
921,"Walker, Greenfelder and Medhurst",kSbSsEDVz,41,18,$4628549.25,$2.28,$9.75,3
922,Bogisich-Kohler,2ONh3eP,87,14,$4409150.05,$5.90,$6.15,11
923,"Hartmann, Mann and Cassin",DBXoJM,12,45,$5216213.91,$3.27,$8.43,51
924,Cartwright-Jenkins,jF94zNNjTqmB,96,85,$7227360.41,$9.65,$2.07,61
925,"Lueilwitz, Bosco and Donnelly",Cd9FS6Z,71,29,$1267111.02,$1.82,$0.59,27
926,Schinner-Ebert,wJVKlImcG2,16,38,$1639648.67,$0.83,$2.24,86
927,Ondricka and Sons,68lGJxv,81,93,$355794.12,$7.30,$5.37,83
928,Legros Inc,4dQHpu5hY,6,83,$3934309.10,$1.40,$5.29,29
929,"Hyatt, Padberg and Fay",Hs3yBMOI0,59,19,$6053792.95,$7.87,$6.15,17
930,Hilll and Sons,qyBlIUzfFv,73,28,$3223546.96,$7.10,$0.24,52
931,"Wyman, Gibson and Block",P8S4OqzF4P7,79,61,$5994569.98,$0.86,$1.38,41
932,Block-Goyette,0Vf8vfXZGFZ4,68,49,$5545729.22,$8.40,$8.75,34
933,Koss and Sons,hUkPzV1a,89,65,$8774714.90,$3.52,$0.26,10
934,Murray Inc,8GbHh6JnAmpa,100,75,$2523181.06,$2.55,$1.25,7
935,Koepp and Sons,tUfIsSqo6dM,63,73,$5824491.78,$3.05,$6.78,96
936,Beier Inc,Z16g7ZVN,27,57,$3679010.42,$4.62,$3.06,56
937,Senger LLC,dNGVBIntkV7,24,87,$7636904.16,$9.85,$8.91,7
938,Ledner-Kozey,piTlgWTlItXW,33,29,$8980117.32,$8.44,$7.89,11
939,"Waelchi, Nikolaus and Morissette",9IU8U7fSHZ5,3,7,$2391827.02,$8.11,$1.22,16
940,"Zemlak, Bosco and Walter",1RI4pTUODYVt,97,18,$7294598.09,$2.99,$6.99,32
941,Becker LLC,RJ7k4amCmwmn,67,93,$6198811.63,$3.27,$7.57,41
942,Kiehn Group,Zc79quB3St,100,7,$6226194.46,$9.78,$9.13,5
943,"Rogahn, Crona and Stracke",CtvVXh,2,91,$1602739.10,$5.74,$2.25,34
944,"Koelpin, Schoen and Ferry",ZDHD0TOTA,3,13,$5454176.46,$4.86,$8.20,62
945,"Von, Boehm and Senger",ku9hz2HNif,69,100,$920752.53,$6.00,$7.49,27
946,"Hand, Labadie and Boyle",wY7A3OjA,62,74,$116146.98,$6.19,$8.20,66
947,Lakin-Mills,8gWmfUfD5jru,49,29,$1215634.31,$2.20,$6.06,43
948,"Hamill, Mann and Klein",7uYLDw2,77,36,$1617051.15,$7.93,$4.71,29
949,Legros and Sons,CoRVZOTDmi,30,15,$8337458.19,$4.98,$2.65,76
950,Heidenreich LLC,irPQIuXjn,59,98,$4536763.79,$4.06,$4.83,36
951,Macejkovic Group,MI9Xw5I,37,35,$1071499.97,$1.24,$2.78,30
952,Kreiger-Batz,TxT3FA,33,65,$3060308.47,$7.98,$2.04,24
953,Cummerata LLC,Ssvltuua,74,69,$1799960.09,$1.22,$7.51,75
954,Mills-DuBuque,AS9wpbFmW,62,9,$5334486.93,$4.72,$9.23,43
955,"Treutel, Stark and Grant",4dtPHVB2,74,52,$8406259.59,$2.43,$0.94,91
956,Oberbrunner Group,mlq4azTj,7,28,$191066.85,$0.42,$9.00,94
957,Roob and Sons,YULT0bujLkG,50,95,$4437986.05,$0.50,$3.10,38
958,"Hackett, Lubowitz and Carroll",dJpLXy8k,27,94,$6609459.80,$7.36,$2.18,22
959,Russel Inc,4yvpLwcPcE,1,43,$7017133.89,$9.00,$3.05,4
960,Hettinger-Orn,niE1oLskK,1,99,$2608216.95,$0.72,$7.57,86
961,Price Group,iYcRkl,35,56,$4138779.44,$7.00,$9.25,69
962,"Stark, Weimann and Kohler",8mRSPPojW0nl,30,32,$5765105.62,$6.31,$0.52,99
963,"Bashirian, Mann and Jakubowski",aZvwS8TY,39,30,$1297059.80,$0.97,$7.53,3
964,"Barton, Morar and Stroman",OrfzlJSX,67,79,$7318832.10,$5.51,$5.93,62
965,"Shanahan, Koch and Brown",WU2Wj72kVk,15,47,$4811622.04,$9.68,$7.01,66
966,Stiedemann Group,1P49k1KaB9AU,0,9,$4877291.10,$7.98,$5.73,84
967,Block-Stroman,YOQ1CmguJY,95,67,$3434311.70,$8.05,$2.09,50
968,"McKenzie, Bechtelar and Schaefer",E6pGCms,82,9,$2564942.13,$0.21,$1.99,4
969,Olson-Leuschke,9nuXRu3EXn6,100,34,$2865759.99,$1.14,$9.98,52
970,Mayert Group,GgUC9psXXL,41,29,$1505730.07,$8.25,$0.12,68
971,Macejkovic-Shanahan,KD0kO0M,36,46,$1412768.92,$8.79,$9.44,6
972,Kertzmann Inc,ZWvZ7pmzqd,4,98,$5803408.06,$2.51,$9.30,0
973,"Schinner, Stoltenberg and Pacocha",fC9DEAtX38M,40,92,$1234680.84,$5.01,$3.92,40
974,Lueilwitz and Sons,9EwzYdrx,76,9,$8887051.24,$5.93,$7.41,25
975,"Herman, Haley and Hoppe",GhueMb,61,96,$8855739.51,$2.17,$0.49,51
976,Koch Inc,UGXFCb,60,4,$881877.53,$2.74,$1.77,90
977,Beahan Group,bSlBW1L,75,74,$1326011.03,$5.33,$5.36,28
978,Schuster Inc,1l4lCDGYY,1,37,$8200639.92,$0.57,$8.94,92
979,Thompson-Connelly,TGzAOQWSVbt,73,89,$5424463.04,$1.87,$1.89,25
980,"Leffler, Bernier and Jacobson",ojUJ3R,39,100,$1015496.21,$7.22,$7.55,95
981,Upton-Hintz,1w43bunEz,44,53,$1901620.63,$0.84,$6.53,37
982,Heathcote-Bradtke,rjNr1UH,95,49,$6274629.85,$5.88,$3.21,99
983,Mills Group,rurhyKqknrf,95,51,$4057428.55,$5.61,$0.99,73
984,"DuBuque, Morar and Green",ZFDIEz,27,74,$2866516.80,$2.38,$9.30,57
985,Pfannerstill-Klein,KQlZuPBU,55,97,$5737835.39,$8.13,$6.66,4
986,Wolff-Rogahn,KjgzDHc,54,11,$1498682.59,$5.75,$3.30,78
987,"Kris, Ankunding and Stroman",SasW3iEhiA,73,25,$5080254.35,$0.84,$2.59,38
988,Kub-Ruecker,bhRQnD,41,85,$6143940.45,$0.76,$4.90,51
989,Leffler-Hilll,zSzHbAAjh,93,5,$894547.82,$8.86,$1.66,58
990,Mraz-Johnston,PFhgKJpWIO2,27,4,$3071900.71,$3.44,$6.65,76
991,McLaughlin-Gottlieb,YaRiSm,66,18,$4141767.26,$2.61,$8.09,16
992,Jones LLC,NjoRl6vsyV,22,25,$8361951.51,$6.07,$5.67,52
993,Murray LLC,3fn39gO3D7t,13,41,$8172997.66,$0.50,$3.70,26
994,"Pacocha, Padberg and Bradtke",h8HuRDDY3akw,20,51,$8160810.44,$7.14,$9.07,95
995,Hills-Wolf,6e2RBPPf1F,63,100,$6340473.57,$7.95,$3.47,89
996,Corkery and Sons,JNEmCqWwTlh,17,47,$215737.55,$8.42,$4.59,54
997,Runolfsdottir-Kemmer,xzRTwSbW,72,95,$7691487.74,$7.68,$0.61,58
998,Davis-Batz,8XiRZ6UK,88,57,$2888353.25,$7.79,$1.47,17
999,Leuschke-Crist,mlAIpDkn2I,93,56,$1555498.11,$4.51,$5.37,13
1000,"Gutkowski, Reinger and Rippin",Z3A9zEFHxCHx,0,46,$2619307.03,$4.12,$9.70,60
